Community,Nodes
76,"[291234, 518907, 409428, 83013]"
77,"[90656, 421369, 355413, 429375]"
78,"[237988, 159061, 481228, 315101, 290749]"
79,"[128672, 201281]"
80,"[19291, 439470]"
81,"[7924, 318774, 55076]"
82,"[402073, 260489, 50035, 45522]"
83,"[446352, 172792]"
84,"[512561, 231169]"
85,"[379272, 567751]"
86,"[518517, 186886]"
87,"[552913, 460355]"
88,"[209918, 521182]"
89,"[106784, 11939, 54052, 224639, 263880, 218986, 531852, 152530, 167193, 23835, 512255]"
90,"[485181, 18703]"
91,"[378, 536451, 540012, 205479]"
92,"[347360, 445676]"
93,"[23000, 527563]"
94,"[73729, 79881, 233483, 2061, 206861, 401426, 524308, 8223, 571429, 475178, 389181, 155724, 114766, 256082, 86102, 444502, 268378, 190555, 467036, 462942, 258144, 301152, 364644, 524388, 260197, 114793, 22634, 409709, 272497, 469108, 448633, 405628, 290943, 137344, 272511, 241793, 546950, 63625, 454799, 245908, 544916, 567445, 546965, 51357, 428190, 450719, 151715, 71847, 26792, 538797, 196782, 405679, 78000, 354491, 229568, 211136, 71877, 2261, 573659, 544999, 88295, 514279, 88298, 334059, 182508, 84205, 133365, 174330, 418043, 71934, 127230, 106752, 119041, 196865, 571650, 375051, 30990, 55573, 143639, 119068, 153887, 200994, 309540, 399652, 305447, 127274, 18744, 463161, 49468, 147774, 477503, 309571, 512330, 55630, 244049, 319831, 328028, 221536, 500068, 534889, 160107, 276845, 143731, 557430, 276866, 573829, 51591, 522636, 47511, 362903, 381337, 123291, 108957, 217504, 520608, 477603, 543142, 364974, 244148, 461239, 328125, 170430, 414143, 545217, 4548, 403909, 158150, 489927, 481740, 145868, 555474, 324055, 170456, 293335, 207334, 283112, 47593, 393713, 537074, 145912, 453113, 141818, 29178, 373249, 414214, 270861, 295440, 219672, 473624, 551454, 502306, 334377, 401962, 422452, 295482, 47675, 109116, 139838, 188991, 283200, 100929, 295500, 74325, 211542, 477784, 113250, 565862, 328295, 559721, 557680, 291442, 496246, 184953, 533114, 479870, 8830, 553606, 74378, 572043, 295583, 303775, 443040, 428707, 510630, 240296, 275116, 12976, 484019, 357047, 238267, 424636, 281276, 367307, 379596, 363217, 291540, 148183, 262872, 269019, 451293, 86752, 303845, 328425, 148209, 260851, 131828, 137977, 350970, 531196, 170749, 86784, 133899, 547598, 25360, 228119, 191260, 559910, 465702, 574248, 348973, 25399, 138048, 396097, 344906, 424779, 461646, 164687, 66387, 541525, 332631, 359256, 306008, 121689, 418647, 521052, 199528, 338792, 484215, 123767, 174970, 174975, 25471, 35714, 181122, 260994, 514952, 88972, 189326, 359313, 107415, 261017, 484252, 373667, 72612, 383910, 447399, 89000, 480177, 314294, 168886, 105400, 89017, 451517, 461760, 15303, 564173, 115665, 289747, 519125, 299993, 46046, 553953, 195553, 166882, 60394, 68586, 480237, 539629, 257011, 439284, 183287, 551929, 465917, 283652, 566276, 412683, 384012, 95244, 424972, 500757, 336919, 54295, 234522, 480286, 123954, 539705, 341049, 39997, 160835, 435269, 302149, 539718, 494664, 509002, 265291, 433233, 406619, 201820, 461916, 158814, 283747, 144486, 394345, 244845, 435311, 416879, 169079, 558202, 418943, 91268, 541835, 306323, 261274, 335011, 531619, 140454, 531630, 87215, 521394, 283834, 144570, 494780, 220348, 25797, 300234, 19662, 199891, 330966, 177368, 19674, 122076, 218334, 390369, 193766, 206055, 1259, 447723, 146670, 154863, 212209, 365809, 517363, 183538, 515321, 140538, 527619, 111875, 306437, 120073, 447756, 9487, 109839, 58641, 435478, 552216, 316697, 208154, 277787, 529692, 305144, 152862, 355615, 322849, 93476, 517418, 349482, 341293, 19760, 183602, 558390, 341303, 181563, 290112, 275779, 531785, 120140, 255308, 122197, 17755, 38243, 384358, 87399, 533864, 128363, 466285, 93555, 210291, 161147, 241027, 429444, 447877, 490889, 109962, 513420, 165263, 288146, 85395, 497049, 69024, 5538, 390571, 187820, 306609, 298417, 97715, 460216, 366009, 161214, 120256, 419269, 421324, 243150, 515539, 402904, 191962, 296410, 19944, 79338, 333293, 263663, 38384, 306674, 247282, 550390, 3574, 286203, 556543, 323077, 255503, 222735, 232980, 394776, 60952, 486947, 527911, 474664, 331312, 118321, 298547, 50740, 194104, 118330, 489021, 22080, 470592, 556611, 13893, 394825, 177737, 208463, 99922, 564821, 327253, 568926, 36450, 177764, 560744, 26221, 110194, 540276, 167547, 327297, 114306, 310917, 198277, 145031, 444040, 478861, 79501, 491154, 79510, 495256, 427679, 442020, 358055, 208561, 169651, 423611, 450247, 337608, 370378, 536268, 552652, 460496, 73424, 22234, 442076, 536288, 415458, 487139, 499431, 24300, 552691, 122619, 573182, 562944, 128780, 61198, 247567, 519953, 286481, 24339, 368405, 304917, 483100, 489246, 358176, 114468, 44836, 196396, 163629, 382770, 237363, 22327, 153402, 75582, 390981, 509770, 274251, 481099, 81745, 374613, 468822, 300888, 337752, 393055, 94048, 356192, 509794, 503651, 53097, 73587, 227189, 534390, 186245, 1925, 257933, 124819, 575390, 376736, 548769, 237483, 16300, 20397, 477102, 92076, 110517, 487352, 567231, 106431, 532426, 344011, 282572, 92109, 28623, 309202, 307160, 36828, 276445, 511967, 200674, 227299, 274404, 348134, 401384, 217067, 274420, 575477, 387064, 299003, 557053]"
95,"[508888, 570323, 495373, 195699]"
96,"[9675, 263135]"
97,"[462969, 330902]"
98,"[266361, 204689, 279685]"
99,"[485564, 391487]"
100,"[219237, 399749, 459327]"
101,"[340779, 207437]"
102,"[401153, 439132]"
103,"[482756, 177144, 170857, 249626, 343373, 164318]"
104,"[68464, 476378]"
105,"[551555, 103876, 80885, 448967, 235465, 421935, 371103]"
106,"[471856, 17506, 106622]"
107,"[456627, 162475]"
108,"[282112, 126769]"
109,"[141761, 160637]"
110,"[339717, 178671]"
111,"[140633, 511859]"
112,"[207113, 372181]"
113,"[77724, 422927]"
114,"[121466, 218324]"
115,"[165723, 208941, 429717, 376111]"
116,"[574362, 292598, 468727]"
117,"[43385, 502357, 41974]"
118,"[516509, 55655]"
119,"[393249, 30517, 389047]"
120,"[18732, 46313, 283179, 200924, 124957, 242252]"
121,"[529225, 99876]"
122,"[209937, 112284]"
123,"[479259, 226036, 280006, 191663]"
124,"[294836, 539172]"
125,"[146105, 71629]"
126,"[459440, 126951]"
127,"[451144, 40339, 503806]"
128,"[563756, 401710]"
129,"[451490, 519034, 235890, 120158]"
130,"[440712, 496523]"
131,"[78656, 80604]"
132,"[160857, 116257, 175565]"
133,"[316136, 272663]"
134,"[211369, 390106, 492691]"
135,"[179779, 491183]"
136,"[410298, 502172, 474202, 419116]"
137,"[57868, 574814]"
138,"[256531, 71637, 50998, 509031, 133702]"
139,"[351470, 236694]"
140,"[263523, 518211]"
141,"[202528, 516427, 272421]"
142,"[146408, 64997]"
143,"[181736, 279309]"
144,"[217603, 120485, 419431, 230971, 214476, 541471]"
145,"[314538, 214967]"
146,"[437089, 469988, 402727, 408136, 10281, 87099, 369812, 515387]"
147,"[358323, 62741]"
148,"[492065, 235094, 124063]"
149,"[14370, 94717]"
150,"[301899, 491390]"
151,"[138712, 369236, 348949]"
152,"[109107, 360668, 475445]"
153,"[111590, 458735]"
154,"[479050, 3955, 76227]"
155,"[254048, 458104, 219943, 153615]"
156,"[474880, 475233, 182882, 257228, 363918, 231343, 570322, 11451, 24572]"
157,"[146728, 357833]"
158,"[493760, 555975, 62601, 276139, 480491]"
159,"[91921, 225468]"
160,"[198664, 483317, 131390]"
161,"[111456, 498866, 524223]"
162,"[491177, 128378, 432355]"
163,"[543706, 266803, 102854, 23]"
164,"[540400, 431805, 486871]"
165,"[297161, 9789, 374453]"
166,"[166176, 262181]"
167,"[558337, 87811]"
168,"[175494, 393, 135821, 115086, 524944, 115921, 573208, 94685, 530078, 76000, 500644, 360487, 470825, 236911, 299569, 93883, 186428]"
169,"[400540, 322359]"
170,"[501938, 20476]"
171,"[474000, 144411, 226709]"
172,"[542816, 502505]"
173,"[209731, 13574, 45322, 50859, 109485, 19086, 432271, 57522, 451987, 564467, 545270, 41945, 363675, 455260]"
174,"[139218, 65779, 568627, 404341, 488686]"
175,"[49612, 72262]"
176,"[46314, 140254]"
177,"[417728, 51913, 529833, 143915, 51885, 154702, 38349, 496819, 465236, 222904, 353401, 248124, 447773]"
178,"[136528, 506059, 79557]"
179,"[488545, 335583, 114872, 564106, 241181, 396186]"
180,"[204223, 32275, 531964, 65999]"
181,"[339706, 506964, 104815]"
182,"[435419, 104199]"
183,"[130017, 393036]"
184,"[311059, 451284, 412477]"
185,"[178028, 514835, 440607, 346255]"
186,"[50690, 8747]"
187,"[539585, 165189, 248517, 530089, 546157, 7727, 459760, 415441, 490579, 570521, 197050, 140636, 110585]"
188,"[363616, 535067, 383685, 162153, 316751, 472975, 262450, 166102, 213464, 326171, 6271]"
189,"[367368, 572517, 18765]"
190,"[141200, 250084, 304360, 55065, 427385]"
191,"[445305, 192387, 529583]"
192,"[307314, 154709, 220857, 317164, 565119]"
193,"[205794, 281067, 573762]"
194,"[406228, 473734, 229831]"
195,"[286928, 382874, 317948]"
196,"[69018, 152706]"
197,"[26547, 127878]"
198,"[31307, 443238]"
199,"[283028, 480022, 187864, 130731, 73036, 413886]"
200,"[410312, 259606]"
201,"[476874, 435350]"
202,"[517970, 34189]"
203,"[418681, 262878]"
204,"[135730, 378828]"
205,"[506733, 109598]"
206,"[518216, 62773, 569012, 435997]"
207,"[374337, 431891]"
208,"[537166, 164118]"
209,"[353088, 387809, 415514]"
210,"[439080, 496301]"
211,"[425810, 325175, 263901, 377018, 238843, 149181, 51423]"
212,"[371490, 381795, 351460, 356426, 483274, 203951, 417147, 35285, 331925, 538873, 293435, 388319]"
213,"[517144, 84075, 49231]"
214,"[92176, 347237]"
215,"[10984, 398351]"
216,"[299970, 53763, 325802, 397842, 82196, 537846, 387131, 324252]"
217,"[528569, 492437, 293017, 445900, 479407]"
218,"[146889, 116211]"
219,"[138476, 448365]"
220,"[575978, 325614]"
221,"[290328, 178875, 423404, 503283]"
222,"[405505, 24868, 408171, 282668, 118029, 351760, 59892, 304278]"
223,"[319905, 416518]"
224,"[106453, 525622]"
225,"[165477, 405694]"
226,"[534642, 206475]"
227,"[447450, 428923]"
228,"[298727, 118926, 287895]"
229,"[353977, 446990, 30295]"
230,"[571595, 542300]"
231,"[331488, 51826, 160756]"
232,"[552217, 144773]"
233,"[489329, 191475, 24564]"
234,"[15681, 89113, 243500, 140825]"
235,"[272397, 567667, 400853, 482174]"
236,"[59934, 77047]"
237,"[521038, 279766]"
238,"[450872, 63500, 198909]"
239,"[529171, 387070]"
240,"[289409, 462309, 253926, 425927, 278633, 71739, 269836, 285427, 402005, 511065, 166841]"
241,"[249896, 171441, 35890]"
242,"[191867, 387365]"
243,"[402432, 19859, 88842, 151835, 132111]"
244,"[214275, 185443, 378055]"
245,"[164338, 164684]"
246,"[223336, 3076, 543133]"
247,"[285515, 121532]"
248,"[254973, 235693]"
249,"[395656, 234826]"
250,"[267378, 569726]"
251,"[373879, 535455]"
252,"[433113, 141202, 46517]"
253,"[553298, 110247]"
254,"[513248, 302011, 259227]"
255,"[389961, 446052]"
256,"[45125, 82354, 377764, 357997]"
257,"[112899, 331413, 446639]"
258,"[493189, 400094, 359430]"
259,"[180018, 96391, 166124, 502141, 279726]"
260,"[174528, 305153, 216224, 93502, 140650, 407761, 358709, 432278, 153397, 316568, 294936, 561627, 491005, 272350]"
261,"[432064, 199091, 428213]"
262,"[68848, 86867]"
263,"[30808, 135408]"
264,"[61802, 569460, 521343]"
265,"[391730, 214263]"
266,"[553181, 58383]"
267,"[232649, 536325, 429553]"
268,"[104002, 472051, 285941, 208261, 419063, 391769]"
269,"[573400, 369041, 523595]"
270,"[81746, 185515, 504293]"
271,"[266880, 54526]"
272,"[318073, 502497]"
273,"[12689, 136522, 23724]"
274,"[40809, 136883]"
275,"[316123, 269180]"
276,"[105490, 395333, 322534]"
277,"[159208, 32481, 131538]"
278,"[452044, 545524, 449885, 17894]"
279,"[131214, 495118]"
280,"[310390, 147295]"
281,"[27240, 16200, 399535]"
282,"[185624, 96636]"
283,"[242016, 291594, 286467, 60740]"
284,"[501767, 18303]"
285,"[559433, 180883, 195620, 497718]"
286,"[198899, 224533]"
287,"[215034, 568543]"
288,"[19400, 385689]"
289,"[571619, 116662]"
290,"[361409, 218723, 449211]"
291,"[186612, 400709, 136839]"
292,"[140272, 391771]"
293,"[246785, 78851, 109573, 413710, 359443, 195603, 307223, 549912, 299038, 313377, 434212, 442405, 89133, 342071, 561213, 150593, 242754, 68674, 319557, 565324, 510031, 330831, 500817, 512083, 387158, 69723, 186460, 328797, 546913, 13410, 325733, 203878, 478310, 416870, 87146, 325741, 145519, 445554, 263283, 47221, 345207, 501881, 63610, 559227, 514172, 34941, 473215, 362627, 572547, 329863, 397450, 102540, 270478, 452752, 354451, 317596, 324767, 109728, 241833, 557230, 454833, 314548, 317636, 72900, 403669, 361685, 142549, 105689, 412889, 4315, 477404, 399581, 187615, 168169, 66803, 516340, 150773, 466169, 230651, 424189, 22784, 135424, 296193, 195844, 255237, 456966, 12552, 534795, 239884, 225554, 126227, 225560, 312602, 61725, 176413, 422175, 535840, 297254, 235815, 474406, 267562, 106796, 399661, 4402, 543028, 127284, 464180, 455991, 465208, 236860, 407869, 517438, 303423, 8514, 259402, 166221, 364880, 401744, 322898, 528726, 274775, 210268, 14685, 424286, 28000, 257376, 202081, 518499, 356715, 254315, 299378, 490867, 350580, 345459, 61817, 63871, 186752, 316803, 534917, 476550, 192907, 261517, 82320, 114067, 375191, 154009, 59802, 173467, 498076, 79265, 406958, 303535, 106929, 546231, 253375, 414151, 35272, 350665, 283079, 119243, 391628, 549324, 238030, 106967, 537047, 276953, 69081, 479707, 553446, 303596, 381420, 254448, 372212, 230902, 244215, 446969, 84475, 446974, 111105, 29185, 301572, 29191, 466444, 451086, 197137, 539153, 50705, 536084, 107031, 563738, 542235, 331292, 238113, 97826, 154151, 362023, 98857, 142889, 565804, 94765, 163375, 383542, 478786, 248387, 394820, 395845, 82501, 387658, 499277, 345677, 353872, 174673, 165459, 317018, 10845, 515679, 129632, 72298, 248431, 564849, 290420, 263798, 397943, 404103, 517769, 294538, 533136, 142999, 413337, 322202, 104093, 267936, 516769, 314017, 506531, 108193, 93861, 179877, 426665, 386732, 516783, 322226, 497330, 298676, 145074, 49851, 286399, 103106, 248516, 505549, 504527, 33490, 75483, 530141, 527070, 242402, 84710, 508647, 463594, 320241, 225010, 166646, 567034, 185083, 571132, 22273, 251652, 68357, 506632, 125705, 540428, 287501, 344850, 165650, 545556, 218900, 51993, 109337, 81689, 433945, 44830, 32545, 39715, 464676, 97067, 274223, 412472, 185146, 502595, 175940, 93001, 442189, 299856, 567120, 89937, 270162, 517974, 52056, 345945, 392044, 466799, 468860, 193409, 205698, 560008, 285584, 163734, 501656, 557981, 458654, 111519, 575399, 207788, 193457, 312252, 400316, 60350, 215999, 108478, 419779, 120771, 251844, 405448, 17355, 548819, 408536, 13272, 109528, 62430, 422886, 361451, 179180, 183281, 120820, 158710, 220159]"
294,"[44658, 318486]"
295,"[18530, 567493]"
296,"[468163, 148013]"
297,"[364689, 471820]"
298,"[436868, 152421]"
299,"[233184, 218065]"
300,"[237413, 302933]"
301,"[238747, 395907, 29342]"
302,"[80177, 87541]"
303,"[272411, 206846]"
304,"[119440, 112642, 338396, 294221]"
305,"[379389, 324691, 462892, 371021]"
306,"[330612, 412236, 216941]"
307,"[256281, 522077]"
308,"[172840, 160269, 150085]"
309,"[440225, 102609, 519277]"
310,"[24829, 156421]"
311,"[109481, 113802]"
312,"[279793, 238355]"
313,"[78890, 257882]"
314,"[354986, 545716, 24765]"
315,"[6832, 313614]"
316,"[161445, 202454, 447727]"
317,"[335656, 354170, 512639]"
318,"[461041, 402402, 87153]"
319,"[59524, 75893, 293655, 296057, 429567]"
320,"[162856, 498734]"
321,"[332218, 455398, 201263]"
322,"[228826, 429573]"
323,"[290659, 235797]"
324,"[331024, 37349, 365827, 255077]"
325,"[526250, 49819, 200829, 25551]"
326,"[138299, 7340, 515550]"
327,"[4416, 556270]"
328,"[125411, 88621, 70006]"
329,"[128473, 470755]"
330,"[292984, 439314, 559772, 158421]"
331,"[197202, 11942]"
332,"[459638, 465590, 507895]"
333,"[375432, 38892]"
334,"[143965, 267141]"
335,"[413513, 160463]"
336,"[393570, 69575]"
337,"[71328, 554657, 787, 489911, 218349]"
338,"[69889, 499876, 333991, 241479, 524746, 476621, 176624, 23058, 449013, 537755]"
339,"[218656, 298116]"
340,"[539873, 488882, 2983]"
341,"[35777, 140279, 542904, 245036, 453070]"
342,"[384084, 238693, 64680, 573146, 396412]"
343,"[560132, 296613]"
344,"[72603, 42989, 102326, 233055]"
345,"[228129, 24602, 556005, 496632, 534202]"
346,"[503788, 417405]"
347,"[528776, 483611]"
348,"[268506, 573979, 437405, 503574]"
349,"[125683, 243844, 456037, 265941, 405450, 39260]"
350,"[513442, 506139]"
351,"[546385, 446147, 409276]"
352,"[294985, 518034, 16675, 361958]"
353,"[94608, 216275, 269991, 40489, 447356, 34269, 443207]"
354,"[383298, 505155]"
355,"[53386, 573099, 133422]"
356,"[315298, 310549, 561016, 161305, 557964]"
357,"[475898, 345636, 194677]"
358,"[350434, 354002]"
359,"[16352, 516444]"
360,"[273041, 48877, 554246]"
361,"[355073, 89787]"
362,"[541976, 261425]"
363,"[245145, 102282, 261434]"
364,"[344672, 509653, 476261, 334455, 162301]"
365,"[574298, 230404]"
366,"[171698, 201179, 378023]"
367,"[457939, 371742]"
368,"[68162, 450099, 23342]"
369,"[480872, 517387, 75648]"
370,"[85241, 573627, 205918]"
371,"[175492, 362157, 116430]"
372,"[89715, 482440, 334521, 134122, 270539, 144014]"
373,"[109280, 43298, 59107, 379076, 177829, 478342, 551859, 119860, 458296, 460924, 187966]"
374,"[209618, 103835, 446150, 329559, 76395, 502494, 64751]"
375,"[473641, 482074, 344914, 147902]"
376,"[450948, 371622, 484455]"
377,"[342697, 529601, 134823]"
378,"[363426, 544719, 96662, 74839]"
379,"[106065, 211206]"
380,"[115872, 523555]"
381,"[435458, 503791]"
382,"[386999, 65719]"
383,"[165312, 386434, 437959, 181900, 79884, 168528, 196502, 174680, 310105, 481252, 46820, 453286, 496678, 207659, 70317, 190638, 358703, 282991, 552495, 473138, 118643, 558645, 22838, 336311, 339704, 554233, 509052]"
384,"[69184, 176322, 260739, 413205, 479465]"
385,"[268497, 13562]"
386,"[340881, 418124]"
387,"[500067, 404447]"
388,"[323340, 41631]"
389,"[41857, 454020, 188037, 317450, 195084, 491086, 46354, 399896, 7384, 488829, 230751, 115746, 329763, 111782, 258983, 225198, 168816, 314674, 558072, 497593, 37562, 75643, 147005]"
390,"[144538, 340132, 119701]"
391,"[119556, 267783, 512332, 193805, 31443, 79508, 528732, 548902, 80744, 261101, 1325, 109745, 246835, 493943, 388408, 514554, 337275, 499004]"
392,"[3824, 93441, 18051]"
393,"[563581, 289510]"
394,"[497805, 377142]"
395,"[230400, 480385, 111048, 184010, 481297, 411027, 271509, 485721, 339993, 173501, 405988, 91048, 545704, 116588, 465837, 102384, 562802, 525364, 22198, 511674, 267131, 402429, 243774]"
396,"[378556, 204725]"
397,"[262017, 396162, 262245, 189223, 448075, 544399, 333714, 337427, 563708, 135070]"
398,"[190688, 169179, 141317]"
399,"[370208, 114612, 308852, 278921, 79628]"
400,"[20465, 196247]"
401,"[502763, 372604, 480182]"
402,"[98765, 232327]"
403,"[66427, 413861]"
404,"[429552, 483361, 355430]"
405,"[431452, 360598]"
406,"[480391, 433070, 574455]"
407,"[490488, 415539, 561661, 169608]"
408,"[260546, 278228, 402758]"
409,"[495888, 326113, 226991]"
410,"[70152, 147691]"
411,"[512096, 25229]"
412,"[519360, 120369, 556338, 397749, 504827]"
413,"[415105, 8533]"
414,"[223752, 52550]"
415,"[489325, 344958]"
416,"[348392, 366532, 140996, 78471]"
417,"[7625, 475725]"
418,"[480301, 346606, 457055]"
419,"[151168, 156265, 429470]"
420,"[221979, 210734]"
421,"[364768, 18059]"
422,"[512746, 575404]"
423,"[85536, 337479]"
424,"[351107, 169941]"
425,"[163722, 179951]"
426,"[395032, 386319]"
427,"[207256, 383751, 159854, 238280]"
428,"[181975, 399222, 282559]"
429,"[179796, 343222]"
430,"[206272, 439124, 363944]"
431,"[245218, 34869, 453686, 313755, 209311]"
432,"[276867, 477733, 522766]"
433,"[337981, 349719]"
434,"[251554, 201091, 87837]"
435,"[190723, 367622, 411654, 510602, 161420, 503693, 294415, 418579, 322324, 209437, 102813, 462886, 26283, 251951, 78384, 400561, 276023, 10819, 286672, 162641, 522584, 234840, 70879, 488672, 313953, 463841, 177127, 276201, 267116, 317676, 392941, 485618, 312564, 230778, 123131]"
436,"[229578, 305107, 248991]"
437,"[541707, 426651]"
438,"[185010, 478875]"
439,"[408346, 87196]"
440,"[376779, 195059]"
441,"[21979, 482879]"
442,"[410550, 202439]"
443,"[48059, 126972]"
444,"[205140, 549437]"
445,"[404300, 329550]"
446,"[73138, 237773, 524694]"
447,"[285299, 434124]"
448,"[221124, 260821, 544860]"
449,"[146650, 89971]"
450,"[403970, 516547, 190665, 242188, 272591, 563026, 447000, 495064, 314526, 29600, 169381, 188518, 508006, 453612, 218673, 231028]"
451,"[316746, 254031]"
452,"[420753, 254833]"
453,"[20746, 90532]"
454,"[109929, 226006]"
455,"[154268, 71420, 500805]"
456,"[475791, 110348, 174439]"
457,"[80833, 113596, 216869]"
458,"[19105, 516684, 107004]"
459,"[237121, 176986]"
460,"[30915, 436682, 512106, 59627, 400496, 230801, 463666, 97298, 520852, 371540, 486384, 62905, 233372]"
461,"[168640, 138648, 166031]"
462,"[56915, 211981]"
463,"[456282, 78084, 306470]"
464,"[277929, 275323]"
465,"[563289, 4529]"
466,"[294896, 399629, 219774]"
467,"[324913, 495179]"
468,"[116347, 461581]"
469,"[283377, 77817]"
470,"[419681, 446920, 93195, 231469, 492945, 550741, 145211, 102301, 529663]"
471,"[145826, 203638]"
472,"[399090, 92962, 397416, 189213]"
473,"[518264, 329034, 537114]"
474,"[458581, 297222, 461399]"
475,"[162967, 60285, 355111]"
476,"[356816, 447427]"
477,"[403664, 550994, 511414]"
478,"[480138, 117955, 370133]"
479,"[224288, 441605, 205510, 271111, 564142, 214608, 324307, 126804, 461719]"
480,"[210409, 281370]"
481,"[165360, 423731, 115099, 448707, 370779, 222925]"
482,"[437153, 160153]"
483,"[377107, 504764, 324019]"
484,"[54817, 87522, 12259, 474184, 311919]"
485,"[321632, 245690]"
486,"[324052, 387620]"
487,"[124493, 501758]"
488,"[453738, 278902]"
489,"[131456, 1419]"
490,"[455848, 543151]"
491,"[222337, 376373, 218470, 102365, 224846]"
492,"[27888, 11521]"
493,"[150929, 328316]"
494,"[344312, 95153]"
495,"[434195, 221205, 246519]"
496,"[141851, 252276]"
497,"[278352, 313865, 482436]"
498,"[145689, 186724, 490465]"
499,"[127907, 259197, 275223]"
500,"[403587, 422875]"
501,"[29802, 511478]"
502,"[538264, 440301]"
503,"[529144, 230013]"
504,"[70437, 337998]"
505,"[527810, 441827, 54697, 261418, 383787, 469423, 473180, 424722, 508855, 317337, 297658, 223900]"
506,"[19264, 52969, 412633]"
507,"[381547, 176037, 134611]"
508,"[205777, 557739]"
509,"[52209, 10530, 408050, 250869, 500393]"
510,"[422096, 307578, 56478, 199974]"
511,"[104046, 420239]"
512,"[71056, 417235, 11652, 157991, 565625, 163757]"
513,"[559073, 501668, 68725, 498756, 518633]"
514,"[429897, 209370]"
515,"[559313, 7400, 513369, 386077, 290846]"
516,"[537986, 85459, 71789]"
517,"[249632, 539788, 228221, 26263]"
518,"[278659, 4116]"
519,"[7865, 437956, 102814]"
520,"[51801, 425708, 297718]"
521,"[255280, 139373, 325581, 198191]"
522,"[121609, 401885]"
523,"[461928, 272353, 234272]"
524,"[286305, 125156, 174526, 221321, 105322, 275209, 421873, 162197, 565077, 425238, 484728, 464921, 109179, 282331]"
525,"[373154, 54177, 112818]"
526,"[373504, 131875, 223267, 350949, 61351, 334964, 296054, 73690]"
527,"[240304, 58498, 514246]"
528,"[491235, 380403, 413429, 458297, 10570, 310078]"
529,"[183481, 172306, 508609]"
530,"[47144, 380510]"
531,"[256592, 110053, 303034, 292684, 458158, 401087]"
532,"[558864, 287578, 7282, 470207]"
533,"[574625, 473797, 149374]"
